#TAG;MARK;NAME;DESCRIPTION;CATEGORY;SECTION;NOTE
;rice;acpi;displays information on ACPI devices;;utils;Adding /snap/bin to your default $PATH makes running snaps that don’t automatically add themselves more convenient
;;acpi-support;scripts for handling many ACPI events;;admin;check Emoji coverage surf https://getemoji.com
;rice;alsamixer;graphical soundcard mixer for ALSA soundcard driver;;sound;configure SUDO_ASKPASS env (man sudo.conf)
;rice;apt;commandline package manager;package manager;admin;could mount/umount automatically. Run as daemon.
;rice;aptitude;terminal-based package manager;package manager;admin;for syntax highlighting in less
node.js;;aspell;GNU Aspell spell-checker;;text;helps fix small fonts
;rice;atool;tool for managing file archives of various types;;utils;http://www.webmin.com/
;;bash-completion;programmable completion for the bash shell;;shells;https://github.com/baskerville/bspwm
;;bc;GNU bc arbitrary precision calculator language;;math;https://github.com/davatorium/rofi
;;bleachbit;delete unnecessary files from the system;;admin;https://github.com/Genymobile/scrcpy
;rice;blueman;Graphical bluetooth manager;;x11;https://github.com/kdheepak/taskwarrior-tui
;;bmon;portable bandwidth monitor and rate estimator;;net;https://github.com/mthenw/frontail
;;bmon;portable bandwidth monitor and rate estimator;;net;https://github.com/teejee2008/timeshift
;rice;bspwm;Binary space partitioning window manager;;x11;https://github.com/trizen/youtube-viewer
;;calcurse;text-based calendar and todo manager;;utils;https://meet.jit.si
;;calibre;powerful and easy to use e-book manager;;text;https://obsproject.com/
;;chromium;web browser;web browser;;https://suckless.org/
;;collectd;statistics collection and monitoring daemon;;utils;https://webhamster.ru/
;rice;compton;compositor for X11, based on xcompmgr;;x11;https://wingware.com/
;;compton-conf;Compton Configurator for Qt;;x11;https://www.google.com/search?q=iosevka+font&oq=iosevka&aqs=chrome.0.69i59l3j69i57.1869j0j7&sourceid=chrome&ie=UTF-8
;;curlftpfs;filesystem to access FTP hosts based on FUSE and cURL;;utils;https://www.virtualbox.org/
;;davfs2;mount a WebDAV resource as a regular file system;;utils;https://www.youtube.com/watch?v=zl68asL9jZA
;;deluge;bittorrent client written in Python/PyGTK;;net;necessary package for fzf (check FZF_DEFAULT_COMMAND, FZF_CTRL_T_COMMAND envs)
;;dialog;dialog --common-options --yesno text height width;;misc;nice!
;;dmidecode;SMBIOS/DMI table decoder;;utils;nm-applet, network-manager-*
;;docker;Docker image and container command line interface;;;nmtui
